Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Pts_MP;xG;xGA;xGD;xGD_90;Last_5;Attendance;Top_Team_Scorer;Goalkeeper;Notes
1;Racing Sant;18;11;4;3;25;16;+9;37;2.06;27.3;24.0;+3.4;+0.19;WWDLL;19,921;Andrés Martín-7;Jokin Ezkieta;
2;Almería;19;10;5;4;35;27;+8;35;1.84;33.1;22.9;+10.2;+0.54;WWWDW;11,695;Luis Javier Suárez-12;Luís Maximiano;
3;CD Mirandés;19;10;4;5;20;14;+6;34;1.79;19.6;19.0;+0.6;+0.03;WWWWL;3,275;Joaquín Panichelli-8;Raúl Fernández;
4;Elche;18;8;5;5;23;15;+8;29;1.61;26.1;17.6;+8.5;+0.47;LDWDW;15,520;Mourad El Ghezouani,Agustín Álvarez Martínez... -4;Matías Dituro;
5;Levante;17;8;5;4;27;20;+7;29;1.71;25.7;21.1;+4.6;+0.27;DDWWL;14,759;Iván Romero-5;Andrés Fernández;
6;Granada;18;8;5;5;30;23;+7;29;1.61;27.9;21.0;+6.8;+0.38;WWDLW;15,991;Myrto Uzuni-11;Diego Mariño;
7;Sporting Gijón;18;8;5;5;26;18;+8;29;1.61;22.8;19.7;+3.1;+0.17;WLDWL;21,610;Juan Ferney Otero,Jonathan Dubasin-5;Rubén Yáñez;
8;Oviedo;18;8;5;5;26;24;+2;29;1.61;24.8;21.5;+3.3;+0.18;DWLLW;19,246;Alexandre Alemão-8;Aarón Escandell;
9;Castellón;18;7;5;6;26;22;+4;26;1.44;26.2;29.2;-3.0;-0.17;LDDWD;11,413;Israel Suero-6;Gonzalo Crettaz;
10;Huesca;18;7;5;6;26;19;+7;26;1.44;23.0;24.2;-1.2;-0.07;LLDWW;5,653;Sergi Enrich,Óscar Sielva-5;Dani Jiménez;
11;Zaragoza;18;7;5;6;27;21;+6;26;1.44;26.2;21.7;+4.5;+0.25;DDDLD;19,268;Soberón,Ivan Azón-6;Gaëtan Poussin;
12;Eibar;18;7;3;8;16;18;-2;24;1.33;20.1;21.0;-0.9;-0.05;LWLWL;4,783;Pascu-4;Daniel Fuzato;
13;Albacete;18;6;6;6;25;27;-2;24;1.33;30.6;20.6;+10.0;+0.55;DLWWD;10,061;Alberto Quiles,Higinio Marín-6;Raúl Lizoain;
14;Málaga;18;4;11;3;15;18;-3;23;1.28;16.4;25.5;-9.0;-0.50;DDLLD;25,628;Dioni,Antonio Cordero-3;Alfonso Herrero;
15;Burgos;18;6;3;9;16;24;-8;21;1.17;21.2;20.5;+0.7;+0.04;LLWLW;9,593;Curro-5;Ander Cantero;
16;La Coruña;18;5;6;7;24;22;+2;21;1.17;24.8;25.2;-0.5;-0.03;WLDWD;23,196;Yeremay Hernández-6;Helton Leite;
17;Córdoba;18;5;5;8;21;28;-7;20;1.11;22.0;26.5;-4.5;-0.25;LDLLW;15,668;Antonio Casas-7;Carlos Marín;
18;Eldense;18;5;4;9;19;24;-5;19;1.06;23.4;21.1;+2.3;+0.13;WWLDL;4,517;Juanto Ortuño-5;Ian Mackay;
19;Cádiz;18;4;6;8;21;28;-7;18;1.00;21.1;26.6;-5.5;-0.30;DWDLL;13,746;Javier Ontiveros-7;David Gil;
20;Racing Ferrol;18;2;9;7;10;22;-12;15;0.83;15.7;24.0;-8.3;-0.46;LDDDL;6,643;Eneko Jauregi-6;Jesús Ruiz;
21;Cartagena;18;4;1;13;13;28;-15;13;0.72;13.3;33.8;-20.5;-1.14;LWLLW;6,794;Luis Muñoz-3;Pablo Cuñat;
22;Tenerife;17;2;5;10;14;27;-13;11;0.65;18.0;22.5;-4.5;-0.26;WLLDL;14,263;Youssouf Diarra-3;Salvi;
