Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Pts_MP;xG;xGA;xGD;xGD_90;Last_5;Attendance;Top_Team_Scorer;Goalkeeper;Notes
1;Barcelona;17;12;2;3;50;19;+31;38;2.24;42.2;22.4;+19.9;+1.17;LDLWD;45,971;Robert Lewandowski-16;Iñaki Peña;
2;Real Madrid;17;11;4;2;37;16;+21;37;2.18;30.5;16.2;+14.3;+0.84;WWLWD;65,856;Kylian Mbappé-9;Thibaut Courtois;
3;Atlético Madrid;16;10;5;1;30;11;+19;35;2.19;27.2;12.2;+15.0;+0.94;WWWWW;60,582;Antoine Griezmann-7;Jan Oblak;
4;Athletic Club;17;9;5;3;26;15;+11;32;1.88;23.8;16.6;+7.2;+0.42;DWWWW;48,503;Oihan Sancet-7;Julen Agirrezabala;
5;Mallorca;18;8;3;7;18;21;-3;27;1.50;19.0;19.7;-0.8;-0.04;WWLLW;19,246;Cyle Larin-4;Dominik Greif;
6;Villarreal;15;7;5;3;27;25;+2;26;1.73;24.7;18.0;+6.8;+0.45;WWDDL;19,453;Ayoze Pérez-7;Diego Conde;
7;Osasuna;17;6;7;4;22;25;-3;25;1.47;17.6;23.0;-5.4;-0.32;LDDDD;20,025;Ante Budimir-10;Sergio Herrera;
8;Real Sociedad;16;7;3;6;16;11;+5;24;1.50;20.1;16.1;+4.1;+0.25;WWLWW;32,714;Mikel Oyarzabal-4;Álex Remiro;
9;Girona;17;6;4;7;23;25;-2;22;1.29;21.1;18.1;+3.0;+0.18;WWDLL;12,820;Cristhian Stuani-4;Paulo Gazzaniga;
10;Sevilla;17;6;4;7;18;23;-5;22;1.29;18.0;22.7;-4.7;-0.28;LWDLW;35,758;Dodi Lukebakio-7;Ørjan Nyland;
11;Betis;16;5;6;5;18;20;-2;21;1.31;25.1;20.9;+4.2;+0.26;DDLLD;51,148;Giovani Lo Celso-6;Rui Silva;
12;Celta Vigo;17;6;3;8;25;28;-3;21;1.24;24.4;19.4;+5.0;+0.30;DDLWL;22,436;Iago Aspas-6;Vicente Guaita;
13;Rayo Vallecano;16;5;5;6;18;19;-1;20;1.25;17.7;18.1;-0.4;-0.02;LLLWD;13,442;Unai López,Jorge de Frutos-3;Augusto Batalla;
14;Las Palmas;16;5;3;8;22;27;-5;18;1.13;15.2;28.6;-13.4;-0.83;LWLWW;24,025;Sandro Ramírez-6;Jasper Cillessen;
15;Getafe;16;3;7;6;11;13;-2;16;1.00;15.3;16.6;-1.2;-0.08;LLWLW;10,564;Mauro Arambarri-4;David Soria;
16;Alavés;16;4;3;9;18;27;-9;15;0.94;16.9;22.8;-6.0;-0.37;WLLDD;17,145;Kiké-5;Antonio Sivera;
17;Leganés;16;3;6;7;14;23;-9;15;0.94;11.3;23.7;-12.4;-0.78;LWLDL;10,746;Juan Cruz-4;Marko Dmitrović;
18;Espanyol;16;4;2;10;15;28;-13;14;0.88;12.8;26.3;-13.5;-0.85;LLWLD;22,886;Javi Puado-5;Joan García;
19;Valladolid;17;3;3;11;12;34;-22;12;0.71;15.9;29.2;-13.2;-0.78;DLLLW;21,343;Raúl Moro-3;Karl Jakob Hein;
20;Valencia;15;2;4;9;13;23;-10;10;0.67;12.9;21.3;-8.4;-0.56;DWLLL;42,750;Hugo Duro-4;Giorgi Mamardashvili;
