Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Pts_MP;xG;xGA;xGD;xGD_90;Last_5;Attendance;Top_Team_Scorer;Goalkeeper;Notes
1;Paris S-G;14;10;4;0;37;11;+26;34;2.43;37.1;11.8;+25.3;+1.81;WWWDD;47,103;Bradley Barcola-10;Gianluigi Donnarumma;
2;Marseille;14;9;2;3;31;17;+14;29;2.07;21.9;21.5;+0.3;+0.02;WLWWW;62,902;Mason Greenwood-10;Gerónimo Rulli;
3;Monaco;14;9;2;3;24;12;+12;29;2.07;28.0;11.9;+16.2;+1.15;LWWLW;10,025;Eliesse Ben Seghir-4;Radosław Majecki,Philipp Köhn;
4;Lille;14;7;5;2;24;14;+10;26;1.86;23.5;17.1;+6.4;+0.46;DDWDW;40,777;Jonathan David-11;Lucas Chevalier;
5;Lyon;14;7;4;3;26;17;+9;25;1.79;25.6;18.6;+7.0;+0.50;DWDWW;52,827;Alexandre Lacazette-5;Lucas Perri;
6;Nice;14;6;5;3;26;17;+9;23;1.64;24.4;16.2;+8.2;+0.59;WDWLW;27,357;Evann Guessand-6;Marcin Bułka;
7;Lens;14;6;5;3;17;12;+5;23;1.64;22.5;16.5;+5.9;+0.42;LWLWW;37,855;Przemysław Frankowski,M'Bala Nzola-3;Brice Samba;
8;Toulouse;15;6;3;6;17;17;0;21;1.40;21.1;13.6;+7.5;+0.50;WLWLW;25,445;Zakaria Aboukhlal-5;Guillaume Restes;
9;Auxerre;14;6;2;6;21;21;0;20;1.43;18.5;26.0;-7.5;-0.53;WWWLD;16,532;Hamed Junior Traorè-6;Donovan Léon;
10;Reims;14;5;4;5;20;18;+2;19;1.36;17.5;21.4;-3.9;-0.28;LWDLD;15,981;Keito Nakamura-6;Yehvann Diouf;
11;Brest;14;5;1;8;20;26;-6;16;1.14;17.3;26.5;-9.3;-0.66;LLLWL;14,772;Ludovic Ajorque,Romain Del Castillo-4;Marco Bizot;
12;Rennes;14;4;2;8;18;20;-2;14;1.00;16.6;16.4;+0.2;+0.01;LLLWL;27,194;Arnaud Kalimuendo-6;Steve Mandanda;
13;Nantes;14;3;5;6;16;20;-4;14;1.00;15.0;19.9;-4.9;-0.35;LLLDW;31,256;Moses Simon-4;Alban Lafont;
14;Strasbourg;14;3;5;6;22;27;-5;14;1.00;19.4;26.8;-7.4;-0.53;LLLLD;19,461;Andrey Santos-5;Đorđe Petrović;
15;Angers;14;3;4;7;14;24;-10;13;0.93;15.5;22.0;-6.5;-0.47;WLLWL;13,412;Himad Abdelli-4;Yahia Fofana;
16;Saint-Étienne;15;4;1;10;12;34;-22;13;0.87;15.0;29.3;-14.4;-0.96;LWLLL;28,256;Zuriko Davitashvili-5;Gautier Larsonneur;
17;Le Havre;14;4;0;10;11;26;-15;12;0.86;14.2;24.5;-10.2;-0.73;WLWLL;20,783;Abdoulaye Touré-3;Arthur Desmas;
18;Montpellier;14;2;2;10;13;36;-23;8;0.57;15.0;28.1;-13.1;-0.93;LWLDL;14,233;Arnaud Nordin-4;Benjamin Lecomte;
