Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Pts_MP;xG;xGA;xGD;xGD_90;Last_5;Attendance;Top_Team_Scorer;Goalkeeper;Notes
1;Liverpool;14;11;2;1;29;11;+18;35;2.50;28.6;13.5;+15.1;+1.08;WWWWD;60,265;Mohamed Salah-13;Caoimhín Kelleher;
2;Chelsea;15;9;4;2;35;18;+17;31;2.07;32.0;21.7;+10.3;+0.69;DWWWW;39,753;Cole Palmer-11;Robert Sánchez;
3;Arsenal;15;8;5;2;29;15;+14;29;1.93;25.6;14.2;+11.5;+0.77;DWWWD;60,308;Kai Havertz,Bukayo Saka-5;David Raya;
4;Manchester City;15;8;3;4;27;21;+6;27;1.80;28.7;21.3;+7.4;+0.49;LLLWD;52,606;Erling Haaland-13;Ederson;
5;Nott'ham Forest;15;7;4;4;19;18;+1;25;1.67;18.0;16.9;+1.1;+0.08;LLWLW;29,965;Chris Wood-10;Matz Sels;
6;Aston Villa;15;7;4;4;23;23;0;25;1.67;25.1;17.4;+7.7;+0.51;LDLWW;41,845;Ollie Watkins-7;Emiliano Martínez;
7;Brighton;15;6;6;3;25;22;+3;24;1.60;22.0;23.3;-1.3;-0.09;WWDLD;33,020;Danny Welbeck-6;Bart Verbruggen;
8;Bournemouth;15;7;3;5;23;20;+3;24;1.60;30.4;18.0;+12.5;+0.83;LLWWW;11,219;Justin Kluivert-5;Kepa Arrizabalaga;
9;Brentford;15;7;2;6;31;28;+3;23;1.53;23.8;25.4;-1.6;-0.10;WDWLW;16,976;Yoane Wissa,Bryan Mbeumo-9;Mark Flekken;
10;Fulham;15;6;5;4;22;20;+2;23;1.53;20.7;18.0;+2.7;+0.18;WLDWD;26,164;Raúl Jiménez,Alex Iwobi-5;Bernd Leno;
11;Tottenham;15;6;2;7;31;19;+12;20;1.33;28.2;22.9;+5.3;+0.35;LWDLL;61,339;Brennan Johnson-6;Guglielmo Vicario;
12;Newcastle Utd;15;5;5;5;19;21;-2;20;1.33;21.5;20.4;+1.1;+0.07;WLDDL;52,208;Alexander Isak-6;Nick Pope;
13;Manchester Utd;15;5;4;6;19;18;+1;19;1.27;21.0;21.8;-0.8;-0.05;WDWLL;73,700;Marcus Rashford-4;André Onana;
14;West Ham;15;5;3;7;20;28;-8;18;1.20;21.4;26.7;-5.3;-0.36;DWLLW;62,470;Tomáš Souček,Jarrod Bowen-4;Łukasz Fabiański,Alphonse Areola;
15;Everton;14;3;5;6;14;21;-7;14;1.00;14.7;18.9;-4.2;-0.30;LDDLW;38,960;Dwight McNeil-3;Jordan Pickford;
16;Leicester City;15;3;5;7;21;30;-9;14;0.93;16.2;29.7;-13.5;-0.90;LLLWD;31,691;Jamie Vardy-6;Mads Hermansen;
17;Crystal Palace;15;2;7;6;14;20;-6;13;0.87;19.7;21.1;-1.4;-0.09;LDDWD;25,137;Jean-Philippe Mateta-4;Dean Henderson;
18;Ipswich Town;15;1;6;8;14;27;-13;9;0.60;14.1;31.4;-17.4;-1.16;WDLLL;29,743;Liam Delap-6;Arijanet Muric;
19;Wolves;15;2;3;10;23;38;-15;9;0.60;15.5;26.1;-10.6;-0.70;WWLLL;30,491;Matheus Cunha-7;José Sá;
20;Southampton;15;1;2;12;11;31;-20;5;0.33;16.0;34.6;-18.6;-1.24;LLDLL;31,167;Adam Armstrong,Joe Aribo... -2;Aaron Ramsdale;
