Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Pts_MP;xG;xGA;xGD;xGD_90;Last_5;Attendance;Top_Team_Scorer;Goalkeeper;Notes
1;Atalanta;16;12;1;3;39;17;+22;37;2.31;29.7;14.5;+15.2;+0.95;WWWWW;;Mateo Retegui-12;Marco Carnesecchi;
2;Napoli;16;11;2;3;24;11;+13;35;2.19;23.4;13.3;+10.1;+0.63;DWWLW;;Romelu Lukaku-6;Alex Meret;
3;Inter;14;9;4;1;34;15;+19;31;2.21;26.5;13.9;+12.6;+0.90;WWDWW;;Marcus Thuram-10;Yann Sommer;
4;Fiorentina;14;9;4;1;28;10;+18;31;2.21;20.3;13.2;+7.1;+0.51;WWWWW;;Moise Kean-9;David de Gea;
5;Lazio;15;10;1;4;30;17;+13;31;2.07;26.5;13.6;+12.9;+0.86;WWWLW;;Valentín Castellanos-6;Ivan Provedel;
6;Juventus;16;6;10;0;26;12;+14;28;1.75;22.8;11.9;+10.9;+0.68;WDDDD;;Dušan Vlahović-7;Michele Di Gregorio;
7;Milan;14;6;4;4;24;16;+8;22;1.57;24.3;15.2;+9.2;+0.66;WDDWL;;Christian Pulisic-5;Mike Maignan;
8;Bologna;14;5;7;2;20;18;+2;22;1.57;16.9;15.5;+1.4;+0.10;WWLWD;;Riccardo Orsolini-6;Łukasz Skorupski;
9;Udinese;16;6;2;8;19;25;-6;20;1.25;14.7;22.8;-8.0;-0.50;LDLWL;;Lorenzo Lucca-5;Maduka Okoye;
10;Empoli;16;4;7;5;14;16;-2;19;1.19;11.3;20.8;-9.5;-0.59;DDLWL;;Sebastiano Esposito-4;Devis Vásquez;
11;Torino;16;5;4;7;17;20;-3;19;1.19;16.0;21.8;-5.8;-0.36;LDLDW;;Che Adams-4;Vanja Milinković-Savić;
12;Roma;15;4;4;7;18;21;-3;16;1.07;18.5;20.7;-2.2;-0.15;LLLLW;;Artem Dovbyk-4;Mile Svilar;
13;Parma;15;3;6;6;21;25;-4;15;1.00;19.2;25.1;-5.9;-0.39;LWLWL;;Dennis Man,Ange-Yoan Bonny-4;Zion Suzuki;
14;Genoa;15;3;6;6;13;24;-11;15;1.00;14.9;23.4;-8.5;-0.56;WDDWD;;Andrea Pinamonti-5;Nicola Leali;
15;Cagliari;16;3;5;8;15;26;-11;14;0.88;21.7;25.6;-3.8;-0.24;DDWLL;;Roberto Piccoli-4;Simone Scuffet;
16;Lecce;15;3;4;8;8;26;-18;13;0.87;15.6;23.6;-8.0;-0.54;LDWDL;;Nikola Krstović,Patrick Dorgu-3;Wladimiro Falcone;
17;Como;15;2;6;7;16;28;-12;12;0.80;17.0;17.5;-0.4;-0.03;LDLDD;;Patrick Cutrone-4;Emil Audero;
18;Hellas Verona;15;4;0;11;18;37;-19;12;0.80;13.7;25.6;-11.9;-0.79;WLLLL;;Casper Tengstedt-5;Lorenzo Montipò;
19;Monza;15;1;7;7;13;19;-6;10;0.67;11.6;17.8;-6.2;-0.41;LLDDL;;Milan Đurić,Dany Mota-4;Stefano Turati;
20;Venezia;16;2;4;10;15;29;-14;10;0.63;15.7;24.9;-9.1;-0.57;LLLDD;;Joel Pohjanpalo-4;Filip Stankovic;
