Squad;Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G_plus_A
Augsburg;25;27.3;42.5;13;143;1,170;13.0;16;10;26
Bayern Munich;24;28.3;72.0;13;143;1,170;13.0;39;24;63
Bochum;23;28.6;41.9;13;143;1,170;13.0;10;7;17
Dortmund;25;27.2;59.1;13;143;1,170;13.0;24;19;43
Eint Frankfurt;24;25.7;46.8;13;143;1,170;13.0;33;23;56
Freiburg;25;27.8;50.6;14;154;1,260;14.0;20;15;35
Gladbach;22;27.2;52.2;13;143;1,170;13.0;18;13;31
Heidenheim;21;27.2;41.5;13;143;1,170;13.0;17;10;27
Hoffenheim;25;27.4;49.7;13;143;1,170;13.0;18;10;28
Holstein Kiel;23;26.3;44.5;13;143;1,170;13.0;13;9;22
Leverkusen;21;27.5;61.4;13;143;1,170;13.0;29;22;51
Mainz 05;22;28.1;49.7;13;143;1,170;13.0;22;17;39
RB Leipzig;26;26.1;53.2;13;143;1,170;13.0;20;14;34
St. Pauli;21;27.8;43.7;13;143;1,170;13.0;11;10;21
Stuttgart;24;25.3;57.9;13;143;1,170;13.0;26;18;44
Union Berlin;24;27.7;40.3;13;143;1,170;13.0;12;9;21
Werder Bremen;21;27.8;50.0;13;143;1,170;13.0;20;15;35
Wolfsburg;22;25.5;43.4;14;154;1,260;14.0;30;20;50
