Squad;Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G_plus_A
Albacete;24;29.1;44.0;18;198;1,620;18.0;25;15;40
Almería;27;26.3;54.2;19;209;1,710;19.0;34;21;55
Burgos;25;27.5;52.4;18;198;1,620;18.0;16;9;25
Cádiz;27;29.0;50.1;18;198;1,620;18.0;21;9;30
Cartagena;22;29.0;40.3;18;198;1,620;18.0;12;7;19
Castellón;22;28.9;56.8;18;198;1,620;18.0;26;16;42
CD Mirandés;22;25.3;43.6;19;209;1,710;19.0;20;13;33
Córdoba;23;26.3;53.5;18;198;1,620;18.0;21;14;35
Eibar;23;28.3;51.4;18;198;1,620;18.0;14;14;28
Elche;30;27.2;61.3;18;198;1,620;18.0;23;17;40
Eldense;24;30.0;48.0;18;198;1,620;18.0;19;14;33
Granada;27;27.2;51.9;18;198;1,620;18.0;29;21;50
Huesca;25;28.5;43.2;18;198;1,620;18.0;25;12;37
La Coruña;28;28.6;52.3;18;198;1,620;18.0;23;17;40
Levante;24;27.3;46.9;17;187;1,530;17.0;27;21;48
Málaga;27;27.4;51.3;18;198;1,620;18.0;13;8;21
Oviedo;25;27.9;52.5;18;198;1,620;18.0;26;20;46
Racing Ferrol;23;29.4;48.7;18;198;1,620;18.0;10;7;17
Racing Sant;24;25.8;50.2;18;198;1,620;18.0;25;19;44
Sporting Gijón;22;27.4;48.8;18;198;1,620;18.0;24;15;39
Tenerife;30;27.8;45.9;17;187;1,530;17.0;14;11;25
Zaragoza;24;25.2;52.3;18;198;1,620;18.0;27;20;47
