Squad;Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G_plus_A
Alavés;24;27.0;43.3;16;176;1,440;16.0;18;10;28
Athletic Club;27;27.4;47.8;17;187;1,530;17.0;26;22;48
Atlético Madrid;23;29.2;52.6;16;176;1,440;16.0;30;25;55
Barcelona;25;24.9;65.7;17;187;1,530;17.0;50;36;86
Betis;29;27.7;51.3;16;176;1,440;16.0;16;11;27
Celta Vigo;28;27.6;53.9;17;187;1,530;17.0;24;16;40
Espanyol;23;25.9;39.9;16;176;1,440;16.0;14;11;25
Getafe;26;27.8;44.2;16;176;1,440;16.0;11;5;16
Girona;27;27.6;58.2;17;187;1,530;17.0;22;15;37
Las Palmas;27;27.7;52.6;16;176;1,440;16.0;20;16;36
Leganés;23;28.2;43.6;16;176;1,440;16.0;14;13;27
Mallorca;26;28.8;45.3;18;198;1,620;18.0;17;13;30
Osasuna;23;27.8;44.8;17;187;1,530;17.0;20;11;31
Rayo Vallecano;23;29.4;48.1;16;176;1,440;16.0;16;13;29
Real Madrid;23;27.5;60.6;17;187;1,530;17.0;37;27;64
Real Sociedad;26;25.9;54.9;16;176;1,440;16.0;15;11;26
Sevilla;30;26.5;53.8;17;187;1,530;17.0;15;13;28
Valencia;27;24.7;47.9;15;165;1,350;15.0;13;7;20
Valladolid;26;26.0;42.4;17;187;1,530;17.0;12;8;20
Villarreal;24;28.0;47.7;15;165;1,350;15.0;25;19;44
