Squad;Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G_plus_A
Angers;23;28.0;41.8;14;154;1,260;14.0;14;8;22
Auxerre;23;26.4;43.1;14;154;1,260;14.0;21;16;37
Brest;25;28.7;49.6;14;154;1,260;14.0;20;12;32
Le Havre;23;27.1;42.9;14;154;1,260;14.0;9;6;15
Lens;24;27.2;53.5;14;154;1,260;14.0;15;6;21
Lille;23;26.1;56.5;14;154;1,260;14.0;24;13;37
Lyon;26;28.1;55.6;14;154;1,260;14.0;24;16;40
Marseille;26;27.1;60.3;14;154;1,260;14.0;30;18;48
Monaco;24;24.8;56.2;14;154;1,260;14.0;24;19;43
Montpellier;29;27.2;47.0;14;154;1,260;14.0;13;7;20
Nantes;24;26.9;42.4;14;154;1,260;14.0;16;12;28
Nice;27;26.3;47.4;14;154;1,260;14.0;24;16;40
Paris S-G;22;24.3;69.6;14;154;1,260;14.0;35;28;63
Reims;25;25.3;46.3;14;154;1,260;14.0;20;10;30
Rennes;23;26.4;51.9;14;154;1,260;14.0;18;9;27
Saint-Étienne;27;26.5;41.8;15;165;1,350;15.0;12;8;20
Strasbourg;26;22.0;49.6;14;154;1,260;14.0;21;16;37
Toulouse;24;25.9;45.3;15;165;1,350;15.0;16;14;30
