Squad;Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G_plus_A
Arsenal;23;26.5;53.0;15;165;1,350;15.0;28;23;51
Aston Villa;23;27.5;50.5;15;165;1,350;15.0;22;17;39
Bournemouth;25;26.0;44.9;15;165;1,350;15.0;23;16;39
Brentford;22;26.5;47.5;15;165;1,350;15.0;31;19;50
Brighton;28;25.9;52.7;15;165;1,350;15.0;25;17;42
Chelsea;24;23.9;56.1;15;165;1,350;15.0;35;26;61
Crystal Palace;25;26.5;44.0;15;165;1,350;15.0;13;10;23
Everton;24;29.1;41.1;14;154;1,260;14.0;12;7;19
Fulham;23;28.3;51.6;15;165;1,350;15.0;21;19;40
Ipswich Town;28;26.4;42.8;15;165;1,350;15.0;14;11;25
Leicester City;24;26.8;46.5;15;165;1,350;15.0;21;17;38
Liverpool;23;27.4;56.6;14;154;1,260;14.0;29;22;51
Manchester City;22;27.7;63.4;15;165;1,350;15.0;27;20;47
Manchester Utd;25;26.4;54.3;15;165;1,350;15.0;18;16;34
Newcastle Utd;20;27.5;49.5;15;165;1,350;15.0;18;16;34
Nott'ham Forest;23;27.0;40.3;15;165;1,350;15.0;19;11;30
Southampton;31;26.2;53.7;15;165;1,350;15.0;11;7;18
Tottenham;24;26.0;58.2;15;165;1,350;15.0;29;25;54
West Ham;23;28.9;46.9;15;165;1,350;15.0;19;11;30
Wolves;24;27.3;46.2;15;165;1,350;15.0;23;20;43
