Squad;Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G_plus_A
Atalanta;28;27.3;55.6;15;165;1,350;15.0;37;26;63
Bologna;27;26.8;56.9;14;154;1,260;14.0;20;14;34
Cagliari;24;27.3;47.1;15;165;1,350;15.0;14;9;23
Como;28;27.7;56.0;15;165;1,350;15.0;13;11;24
Empoli;25;25.7;39.5;16;176;1,440;16.0;13;7;20
Fiorentina;27;26.6;53.4;14;154;1,260;14.0;27;18;45
Genoa;31;27.0;43.2;15;165;1,350;15.0;12;7;19
Hellas Verona;27;25.8;39.5;15;165;1,350;15.0;17;12;29
Inter;23;30.0;60.4;14;154;1,260;14.0;33;24;57
Juventus;25;25.2;60.1;15;165;1,350;15.0;22;15;37
Lazio;23;27.7;54.4;15;165;1,350;15.0;29;20;49
Lecce;24;26.6;42.3;15;165;1,350;15.0;8;6;14
Milan;25;26.3;54.1;14;154;1,260;14.0;24;16;40
Monza;25;27.5;47.9;15;165;1,350;15.0;13;8;21
Napoli;23;28.5;50.5;15;165;1,350;15.0;21;17;38
Parma;27;24.2;44.1;15;165;1,350;15.0;20;16;36
Roma;24;26.9;57.7;15;165;1,350;15.0;18;11;29
Torino;25;27.3;48.1;16;176;1,440;16.0;16;11;27
Udinese;25;27.1;45.9;15;165;1,350;15.0;18;14;32
Venezia;28;26.4;45.9;15;165;1,350;15.0;13;8;21
