Squad;Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G_plus_A
24;27.0;43.3;16;176;1,440;16.0;18;10;28;16
27;27.4;47.8;17;187;1,530;17.0;26;22;48;25
23;29.2;52.6;16;176;1,440;16.0;30;25;55;29
25;24.9;65.7;17;187;1,530;17.0;50;36;86;47
29;27.7;51.3;16;176;1,440;16.0;16;11;27;14
28;27.6;53.9;16;176;1,440;16.0;24;16;40;22
23;25.8;39.7;15;165;1,350;15.0;14;11;25;13
26;27.8;44.2;16;176;1,440;16.0;11;5;16;7
27;27.6;57.6;16;176;1,440;16.0;21;15;36;18
27;27.7;52.6;16;176;1,440;16.0;20;16;36;19
23;28.2;43.6;16;176;1,440;16.0;14;13;27;13
26;28.8;46.1;17;187;1,530;17.0;15;12;27;14
23;27.8;44.1;16;176;1,440;16.0;20;11;31;16
23;29.5;49.1;15;165;1,350;15.0;13;10;23;13
23;27.5;60.3;16;176;1,440;16.0;34;24;58;28
26;25.9;54.9;16;176;1,440;16.0;15;11;26;13
27;26.5;54.3;16;176;1,440;16.0;14;12;26;13
27;24.7;47.9;15;165;1,350;15.0;13;7;20;11
26;26.0;42.4;17;187;1,530;17.0;12;8;20;9
24;28.0;47.7;15;165;1,350;15.0;25;19;44;23
